corp_code,corp_name,stock_code,business_year,fs_label,revenue_current,revenue_previous,op_current,op_previous,revenue_account_name,op_account_name,current_period_name,previous_period_name
00115694,DB증권,016610,2025,연결재무제표,1921987648624.0,1318537932981.0,116698438500.0,61858580381.0,영업수익,영업이익(손실),제 44 기,제 43 기
00160843,DB하이텍,000990,2023,연결재무제표,1154223638940.0,1669476722276.0,265437456373.0,761884807377.0,수익(매출액),영업이익(손실),제 71 기,제 70 기
00160843,DB하이텍,000990,2024,연결재무제표,1131167709804.0,1154223638940.0,190838683363.0,265437456373.0,수익(매출액),영업이익(손실),제 72 기,제 71 기
00160843,DB하이텍,000990,2025,연결재무제표,1397233307039.0,1131167709804.0,277294561174.0,190838683363.0,수익(매출액),영업이익(손실),제 73 기,제 72 기
00627029,DGI,099520,2023,연결재무제표,13391973891.0,25873130375.0,-4392338334.0,422357578.0,매출액,영업이익(손실),제 26 기,제 25 기
00627029,DGI,099520,2024,연결재무제표,21360983111.0,13391973891.0,503079763.0,-4392338334.0,매출액,영업이익(손실),제 27 기,제 26 기
00627029,DGI,099520,2025,연결재무제표,25172528475.0,21360983111.0,-3299650687.0,503079763.0,매출액,영업이익(손실),제 28 기,제 27 기
00126089,DH오토넥스,000300,2023,연결재무제표,32790275265.0,50206345165.0,-29945679316.0,-3650120030.0,매출액,영업이익(손실),제 58 기,제 57 기
00126089,DH오토넥스,000300,2024,연결재무제표,32380378302.0,32790275265.0,-8564101590.0,-29945679316.0,매출액,영업이익(손실),제 59 기,제 58 기
00126089,DH오토넥스,000300,2025,연결재무제표,40170942353.0,30009552048.0,3227554944.0,-5148055704.0,매출액,영업이익(손실),제 60 기,제 59 기
01182578,DH오토리드,290120,2023,연결재무제표,235592265722.0,225952601224.0,15774631616.0,22316017859.0,매출액,영업이익(손실),제 8 기,제 7 기
01182578,DH오토리드,290120,2024,연결재무제표,270395042990.0,235592265722.0,16539456188.0,15774631616.0,매출액,영업이익(손실),제 9 기,제 8 기
01182578,DH오토리드,290120,2025,연결재무제표,355590427771.0,270395042990.0,21921482734.0,16539456188.0,매출액,영업이익(손실),제 10 기,제 9 기
00110583,DH오토웨어,025440,2023,연결재무제표,393131714023.0,381809993242.0,2775900843.0,2321107281.0,매출액,영업손익,제 45 기,제 44 기
00110583,DH오토웨어,025440,2024,연결재무제표,371930569811.0,393131714023.0,1896227254.0,2775900843.0,매출액,영업이익(손실),제 46 기,제 45 기
00110583,DH오토웨어,025440,2025,연결재무제표,494366222632.0,371930569811.0,-4915767138.0,1896227254.0,매출액,영업손익,제 47 기,제 46 기
00108746,DKME,015590,2023,연결재무제표,137250775712.0,105673907331.0,12883589883.0,12936915150.0,수익(매출액),영업이익(손실),제 43 기,제 42 기
00108746,DKME,015590,2024,연결재무제표,136623566311.0,137250775712.0,10022114479.0,12883589883.0,수익(매출액),영업이익(손실),제 44 기,제 43 기
00108746,DKME,015590,2025,연결재무제표,133411972702.0,136623566311.0,10025825849.0,9474538202.0,매출액,영업이익(손실),제 45 기,제 44 기
00109693,DL,000210,2023,연결재무제표,5017815821242.0,5173707170177.0,150696391721.0,284470889015.0,매출액,영업이익(손실),제 77 기,제 76 기
00109693,DL,000210,2024,연결재무제표,5615368498981.0,5017815821242.0,412518392958.0,150696391721.0,매출액,영업이익,제 78 기,제 77 기
00109693,DL,000210,2025,연결재무제표,5326721292281.0,5615368498981.0,298546039560.0,412518392958.0,매출액,영업이익,제 79 기,제 78 기
01524093,DL이앤씨,375500,2023,연결재무제표,7991063616680.0,7496823679468.0,330659390232.0,496965230080.0,수익(매출액),영업이익(손실),제 3 기,제 2 기
01524093,DL이앤씨,375500,2024,연결재무제표,8318442435057.0,7991063616680.0,270944859542.0,330659390232.0,매출액,영업이익(손실),제 4 기,제 3 기
01524093,DL이앤씨,375500,2025,연결재무제표,7402425126660.0,8318442435057.0,386953267819.0,270944859542.0,매출액,영업이익(손실),제 5 기,제 4 기
00361594,DMS,068790,2023,연결재무제표,164525351844.0,317047865401.0,28921463099.0,53542181519.0,매출액,영업이익,제 25 기,제 24 기
00361594,DMS,068790,2024,연결재무제표,167787547562.0,307056798172.0,30645330986.0,72776348454.0,매출액,영업이익,제 26 기,제 25 기
00361594,DMS,068790,2025,연결재무제표,155471297435.0,109594448763.0,4236043807.0,-3924687216.0,수익(매출액),영업이익,제 27 기,제 26 기
00116949,DN오토모티브,007340,2023,연결재무제표,3269243065116.0,3156376223570.0,490389697147.0,421528485860.0,매출액,영업이익(손실),제 53 기,제 52 기
00116949,DN오토모티브,007340,2024,연결재무제표,3434542268000.0,3269243065000.0,522916807000.0,490389696000.0,매출액,영업이익(손실),제 54 기,제 53 기
00116949,DN오토모티브,007340,2025,연결재무제표,3675704255000.0,3434542268000.0,527907609000.0,522916807000.0,매출액,영업이익,제 55 기,제 54 기
00118266,DRB동일,004840,2023,연결재무제표,737777767832.0,661814016477.0,35845945523.0,12110321241.0,매출,영업이익(손실),제 58 기,제 57 기
00118266,DRB동일,004840,2024,연결재무제표,752688127961.0,737777767832.0,21870057763.0,35845945523.0,매출,영업이익(손실),제 59 기,제 58 기
00118266,DRB동일,004840,2025,연결재무제표,802745958892.0,752688127961.0,24894014874.0,21870057763.0,매출,영업이익(손실),제 60 기,제 59 기
01109715,DSC인베스트먼트,241520,2023,연결재무제표,33564906112.0,33775348328.0,17544942089.0,18844849182.0,영업수익,영업이익(손실),제 12 기,제 11 기
01109715,DSC인베스트먼트,241520,2024,연결재무제표,38626549523.0,33564906112.0,14954394099.0,17544942089.0,영업수익,영업이익(손실),제 13 기,제 12 기
01109715,DSC인베스트먼트,241520,2025,연결재무제표,45138188422.0,38626549523.0,22339147639.0,14954394099.0,영업수익,영업이익(손실),제 14 기,제 13 기
00110608,DSR,155660,2023,연결재무제표,291095086618.0,367456836231.0,24261853627.0,35774891408.0,수익(매출액),영업이익(손실),제 60 기,제 59 기
00110608,DSR,155660,2024,연결재무제표,299809123352.0,291095086618.0,15340514051.0,24261853627.0,수익(매출액),영업이익(손실),제 61 기,제 60 기
00110608,DSR,155660,2025,연결재무제표,302389824368.0,299809123352.0,19291739606.0,15340514051.0,매출액,영업이익,제 62 기,제 61 기
00151298,DSR제강,069730,2023,별도재무제표,212953620629.0,261687161748.0,23494981828.0,26367413746.0,매출액,영업이익,제 53 기,제 52 기
00151298,DSR제강,069730,2024,별도재무제표,215582385097.0,212953620629.0,19511056524.0,23494981828.0,매출액,영업이익,제 54 기,제 53 기
00151298,DSR제강,069730,2025,연결재무제표,226550389881.0,215582385097.0,28035487957.0,19511056524.0,매출액,영업이익,제 55 기,제 54 기
00108612,DS단석,017860,2023,연결재무제표,1070440042557.0,1133719963759.0,76240446307.0,73985310875.0,매출액,영업이익,제 40 기,제 39 기
00108612,DS단석,017860,2024,연결재무제표,961722369625.0,1070440042557.0,12187575770.0,76240446307.0,수익(매출액),영업이익(손실),제 41 기,제 40 기
00108612,DS단석,017860,2025,연결재무제표,954873741956.0,961722369625.0,7982184722.0,12187575770.0,수익(매출액),영업이익(손실),제 42 기,제 41 기
00995993,DXVX,180400,2023,연결재무제표,46745087441.0,32184379157.0,-12084041763.0,2634286404.0,매출액,영업이익(손실),제 23 기,제 22 기
00995993,DXVX,180400,2024,연결재무제표,33946577478.0,41243654577.0,-21596592945.0,-15449039642.0,매출액,영업이익(손실),제 24 기,제 23 기
00995993,DXVX,180400,2025,연결재무제표,29356591144.0,33946577478.0,-24317408362.0,-21596592945.0,매출액,영업이익(손실),제 25 기,제 24 기
00117726,DYP,092780,2023,연결재무제표,421732458047.0,397883097756.0,13298980181.0,7437519525.0,매출액,영업이익,제 47 기,제 46 기
00117726,DYP,092780,2024,연결재무제표,431024695614.0,421732458047.0,9697465040.0,13298980181.0,매출액,영업이익,제 48 기,제 47 기
00117726,DYP,092780,2025,연결재무제표,459333394568.0,431024695614.0,16659372931.0,9697465040.0,영업수익,영업이익(손실),제 49 기,제 48 기
00165583,E1,017940,2023,연결재무제표,7827737066529.0,7990767897663.0,93175065859.0,278730692433.0,매출,영업이익,제 40 기,제 39 기
00165583,E1,017940,2024,연결재무제표,11192411812013.0,7827737066529.0,217605533069.0,93175065859.0,매출,영업이익,제 41 기,제 40 기
00165583,E1,017940,2025,연결재무제표,10392522604756.0,11192411812013.0,324063026338.0,223443150352.0,매출액,영업이익(손실),제 42 기,제 41 기
01516890,E8,418620,2023,연결재무제표,3665563019.0,309153551.0,-5250143490.0,-7707829743.0,영업수익,영업이익(손실),제 12 기,제 11 기
01516890,E8,418620,2024,연결재무제표,2285497728.0,3665563019.0,-10599051201.0,-5250143490.0,영업수익,영업이익(손실),제 13 기,제 12 기
01516890,E8,418620,2025,연결재무제표,1655496540.0,2285497728.0,-11246126269.0,-10599051201.0,영업수익,영업이익(손실),제 14 기,제 13 기
01182550,EDGC,245620,2023,연결재무제표,88456744573.0,94243692888.0,-9358686426.0,-9520183120.0,수익(매출액),영업이익(손실),제 11 기,제 10 기
01182550,EDGC,245620,2024,연결재무제표,30941997176.0,88456744573.0,-12631473944.0,-9358686426.0,수익(매출액),영업손실,제 12 기,제 11 기
01182550,EDGC,245620,2025,연결재무제표,7886099045.0,30941997176.0,-1596857542.0,-12631473944.0,수익(매출액),영업손실,제 13 기,제 12 기
00261054,EG,037370,2023,연결재무제표,61797981915.0,70189076829.0,-14353005712.0,-8562134701.0,수익(매출액),영업이익(손실),제 37 기,제 36 기
00261054,EG,037370,2024,연결재무제표,65213324318.0,61797981915.0,-5466140843.0,-14353005712.0,수익(매출액),영업이익(손실),제 38 기,제 37 기
00261054,EG,037370,2025,연결재무제표,62750627943.0,65213324318.0,-2165701772.0,-5466140843.0,수익(매출액),영업이익(손실),제 39 기,제 38 기
01117246,EMB,278990,2023,연결재무제표,24346097310.0,24281641358.0,806192008.0,1815836745.0,매출,영업이익(손실),제 11 기,제 10 기
01117246,EMB,278990,2024,연결재무제표,27684198177.0,24346097310.0,606849641.0,806192008.0,매출,영업이익(손실),제 12 기,제 11 기
01117246,EMB,278990,2025,연결재무제표,23779257831.0,27684198177.0,-5156553724.0,606849641.0,매출,영업이익(손실),제 13 기,제 12 기
01437186,ESR켄달스퀘어리츠,365550,2023,연결재무제표,52957789556.0,49482601960.0,24194866648.0,26079139969.0,영업수익,영업이익(손실),제 8 기,제 7 기
01437186,ESR켄달스퀘어리츠,365550,2024,연결재무제표,56876297402.0,55878154102.0,26551539946.0,28807156078.0,영업수익,영업이익(손실),제 10 기,제 9 기
01437186,ESR켄달스퀘어리츠,365550,2025,연결재무제표,59557601618.0,58696665274.0,25859163408.0,28703973058.0,영업수익,영업이익,제 12 기,제 11 기
00175623,ES큐브,050120,2023,연결재무제표,63333992892.0,75213651998.0,10789653339.0,15343412140.0,매출액,영업이익(손실),제 46 기,제 45 기
00175623,ES큐브,050120,2024,연결재무제표,16172075695.0,63333992892.0,-3743000293.0,10789653339.0,매출액,영업이익(손실),제 47 기,제 46 기
00175623,ES큐브,050120,2025,연결재무제표,13932072968.0,16172075695.0,-12834092193.0,-3743000293.0,매출액,영업이익(손실),제 48 기,제 47 기
01568413,F&F,383220,2023,연결재무제표,1978495535892.0,1808894546708.0,551835228989.0,524882680312.0,수익(매출액),영업이익(손실),제 3 기,제 2 기
01568413,F&F,383220,2024,연결재무제표,1896009590086.0,1978495535892.0,450737459737.0,551835228989.0,영업수익,영업이익,제 4 기,제 3 기
01568413,F&F,383220,2025,연결재무제표,1933995926896.0,1896009590086.0,468574150329.0,450737459737.0,매출액,영업이익,제 5 기,제 4 기
